Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,0.359,80.32,3.31,180,271,192,282,37440,37440,19244
output_0.1.txt,3.725,83.82,3.31,181,301,192,292,376272,375393,188753
output_0.2.txt,9.575,81.75,3.31,181,310,192,322,753480,750824,376908
output_0.3.txt,17.344,81.12,3.3,183,374,194,386,1129752,1126495,565338
output_0.4.txt,23.398,84.61,3.3,188,424,199,414,1506960,1502065,753776
output_0.5.txt,29.325,82.96,3.31,194,524,205,536,1883232,1877549,942298
output_0.6.txt,35.441,85.43,3.31,202,609,214,560,2260440,2252736,1130668
output_0.7.txt,43.152,86.65,3.31,217,782,228,773,2637648,2627674,1319093
output_0.8.txt,48.582,89.43,3.31,244,1066,256,1077,3013920,3001758,1507630
output_0.9.txt,55.161,89.41,3.3,315,1917,328,1902,3391128,3372919,1695985
output_1.0.txt,63.129,85.00,3.3,863,6157,1040,6169,3767400,3695822,1869828
